phase,team_a,team_b,goals_a,goals_b
GROUP,South Africa,Mexico,1,1
GROUP,Uruguay,France,0,0
GROUP,South Africa,Uruguay,0,3
GROUP,France,Mexico,0,2
GROUP,Mexico,Uruguay,0,1
GROUP,France,South Africa,1,2
GROUP,South Korea,Greece,2,0
GROUP,Argentina,Nigeria,1,0
GROUP,Argentina,South Korea,4,1
GROUP,Greece,Nigeria,2,1
GROUP,Nigeria,South Korea,2,2
GROUP,Greece,Argentina,0,2
GROUP,England,USA,1,1
GROUP,Algeria,Slovenia,0,1
GROUP,Slovenia,USA,2,2
GROUP,England,Algeria,0,0
GROUP,USA,Algeria,1,0
GROUP,Slovenia,England,0,1
GROUP,Serbia,Ghana,0,1
GROUP,Germany,Australia,4,0
GROUP,Germany,Serbia,0,1
GROUP,Ghana,Australia,1,1
GROUP,Australia,Serbia,2,1
GROUP,Ghana,Germany,0,1
GROUP,Netherlands,Denmark,2,0
GROUP,Japan,Cameroon,1,0
GROUP,Netherlands,Japan,1,0
GROUP,Cameroon,Denmark,1,2
GROUP,Denmark,Japan,1,3
GROUP,Cameroon,Netherlands,1,2
GROUP,Italy,Paraguay,1,1
GROUP,New Zealand,Slovakia,1,1
GROUP,Slovakia,Paraguay,0,2
GROUP,Italy,New Zealand,1,1
GROUP,Slovakia,Italy,3,2
GROUP,Paraguay,New Zealand,0,0
GROUP,Côte d'Ivoire,Portugal,0,0
GROUP,Brazil,North Korea,2,1
GROUP,Brazil,Côte d'Ivoire,3,1
GROUP,Portugal,North Korea,7,0
GROUP,Portugal,Brazil,0,0
GROUP,North Korea,Côte d'Ivoire,0,3
GROUP,Honduras,Chile,0,1
GROUP,Spain,Switzerland,0,1
GROUP,Chile,Switzerland,1,0
GROUP,Spain,Honduras,2,0
GROUP,Chile,Spain,1,2
GROUP,Switzerland,Honduras,0,0
R16,Uruguay,South Korea,2,1
R16,USA,Ghana,1,1
R16,Germany,England,4,1
R16,Argentina,Mexico,3,1
R16,Netherlands,Slovakia,2,1
R16,Brazil,Chile,3,0
R16,Paraguay,Japan,0,0
R16,Spain,Portugal,1,0
QF,Netherlands,Brazil,2,1
QF,Uruguay,Ghana,1,1
QF,Argentina,Germany,0,4
QF,Paraguay,Spain,0,1
SF,Uruguay,Netherlands,2,3
SF,Germany,Spain,0,1
THIRD,Uruguay,Germany,2,3
FINAL,Netherlands,Spain,0,0
